city,title,price,area,rooms,link
gdansk,Mieszkanie na sprzedażal. Wojska PolskiegoGdańsk Strzyża,"Mieszkanie Gdańsk, al. Wojska Polskiego - 64 m² - 1 100 000 zł",64,3,https://adresowo.pl/o/mieszkanie-gdansk-strzyza-al-wojska-polskiego-3-pokojowe-y0z8l5
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Kazimierza WielkiegoGdańsk Orunia Górna,zł,64,4,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-4-pokojowe-q9s1h0
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. JesionowaGdańsk Wrzeszcz,zł,54,3,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-3-pokojowe-d3i4o0
gdansk,Mieszkanie na sprzedażul. ŁąkowaGdańsk Śródmieście,"Mieszkanie Gdańsk, ul. Łąkowa - 56 m² - 1 353 000 zł",56,2,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-lakowa-2-pokojowe-i1o9t3
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Związku JaszczurczegoGdańsk Morena,"Mieszkanie Gdańsk, ul. Związku Jaszczurczego, bez pośrednika - 60 m² - 695 000 zł",60,3,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-zwiazku-jaszczurczego-3-pokojowe-m2f4n1
gdansk,Mieszkanie na sprzedażul. LeszczynowaGdańsk Jasień,"Mieszkanie Gdańsk, ul. Leszczynowa - 58 m² - 779 000 zł",58,3,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-leszczynowa-3-pokojowe-g0r5k8
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Kazimierza WielkiegoGdańsk Orunia Górna,zł,60,3,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-3-pokojowe-z1r8m0
gdansk,Mieszkanie na sprzedażul. Sienna GroblaGdańsk Śródmieście,"Mieszkanie Gdańsk, ul. Sienna Grobla - 77 m² - 2 200 000 zł",77,4,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-sienna-grobla-4-pokojowe-w2d3o7
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. LęborskaGdańsk Przymorze,"Mieszkanie Gdańsk, ul. Lęborska, bez pośrednika - 69 m² - 840 000 zł",69,4,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-leborska-4-pokojowe-o6l0j9
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Kazimierza WielkiegoGdańsk Orunia Górna,zł,125,5,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-5-pokojowe-e5b7y5
gdansk,Mieszkanie na sprzedażul. StarowiejskaGdańsk Letnica,"Mieszkanie Gdańsk, ul. Starowiejska - 38 m² - 699 000 zł",38,2,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-starowiejska-2-pokojowe-j2k9t5
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. CedrowaGdańsk Łostowice,"Mieszkanie Gdańsk, ul. Cedrowa, bez pośrednika - 69 m² - 990 000 zł",69,3,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-cedrowa-3-pokojowe-x4i1o8
gdansk,Mieszkanie na sprzedażul. św. BarbaryGdańsk Stare Miasto,"Mieszkanie Gdańsk, ul. św. Barbary - 47 m² - 1 180 000 zł",47,2,https://adresowo.pl/o/mieszkanie-gdansk-stare-miasto-ul-sw-barbary-2-pokojowe-s9t6k0
